,stance1_successrate,stance2_successrate,stance3_successrate,stance4_successrate,stance5_successrate,stance6_successrate,stance7_successrate,stance8_successrate,stance9_successrate,stance10_successrate,stance11_successrate,stance12_successrate,stance13_successrate,stance14_successrate,stance1_steps,stance2_steps,stance3_steps,stance4_steps,stance5_steps,stance6_steps,stance7_steps,stance8_steps,stance9_steps,stance10_steps,stance11_steps,stance12_steps,stance13_steps,stance14_steps,stance1_rewards,stance2_rewards,stance3_rewards,stance4_rewards,stance5_rewards,stance6_rewards,stance7_rewards,stance8_rewards,stance9_rewards,stance10_rewards,stance11_rewards,stance12_rewards,stance13_rewards,stance14_rewards
903,1,1,1,1,0,0,0,0,0,0,0,0,0,0,54,206,39,93,0,0,0,0,0,0,0,0,0,0,-21.53537595534709,-79.46328680109654,-22.69784186575003,-47.32555565564779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.369831597121927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
905,1,1,1,1,1,1,1,1,0,0,0,0,0,0,55,203,46,97,53,84,671,70,0,0,0,0,0,0,-21.27339819515809,-62.447366001053275,-21.656211532810396,-48.49080919204975,-26.09157573399588,-48.542915470815736,-431.64727922237245,-42.40263584860894,0.0,0.0,0.0,0.0,0.0,0.0
906,1,1,1,1,1,1,1,1,1,1,0,0,0,0,55,249,44,88,197,122,550,68,451,320,0,0,0,0,-21.435326671213797,-69.54080305604167,-21.90186948193867,-41.2917687513844,-82.06399728568705,-48.2664056250303,-405.36433308292914,-43.330201680249424,-256.0960707634884,-125.62385403507523,0.0,0.0,0.0,0.0
907,1,1,1,1,1,1,1,1,1,0,0,0,0,0,58,150,56,92,175,103,73,231,347,0,0,0,0,0,-22.71366146035693,-53.061262768603996,-26.13461768307318,-45.580947248748494,-67.99661587211845,-37.74299272825025,-49.746034032708074,-127.73302338156837,-223.4664371140501,0.0,0.0,0.0,0.0,0.0
908,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,539,0,0,0,0,0,0,0,0,0,0,0,0,-22.874274957788135,-152.6596730506027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909,1,1,1,0,0,0,0,0,0,0,0,0,0,0,53,62,35,0,0,0,0,0,0,0,0,0,0,0,-22.617230565747057,-26.16529343688516,-20.42167980661396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.453705153398467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,1,1,1,1,1,0,0,0,0,0,0,0,0,0,60,243,42,106,43,0,0,0,0,0,0,0,0,0,-24.454261357948376,-74.71044945256217,-21.54702885739584,-53.083266069345036,-22.162134316717427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,268,45,128,222,189,371,69,358,275,227,74,272,297,-21.70030876142727,-95.84488155129941,-27.11686257076548,-55.80488614637014,-89.84877688730344,-65.02263343790287,-205.08659696972938,-42.65472869817946,-189.38197891769508,-110.71015057395765,-104.90830036600453,-46.85821879211849,-127.65228385756362,-158.6814636326845
