,stance1_successrate,stance2_successrate,stance3_successrate,stance1_steps,stance2_steps,stance3_steps,stance1_rewards,stance2_rewards,stance3_rewards
9553,1,0,0,54,201,0,-25.289608737988328,-128.76681586338287,0.0
9554,1,0,0,48,201,0,-22.57624087181687,-318.84875045047403,0.0
9555,1,0,0,50,201,0,-22.317371945159636,-117.69251807751509,0.0
9556,1,0,0,55,201,0,-22.87906809714995,-123.95592293451432,0.0
9557,1,1,1,47,26,127,-23.94785590147697,-6.1015535593441195,-25.334555297286986
9558,1,1,1,63,42,164,-23.179819093287136,-13.165846574867032,-35.43650494668068
9559,1,0,0,50,201,0,-24.37380063109589,-134.4789375537331,0.0
9560,1,0,0,55,201,0,-24.915184310867183,-120.10209420538504,0.0
9561,1,0,0,47,201,0,-22.1619450455721,-263.1070834509537,0.0
9562,1,1,1,46,32,131,-18.04678089309584,-8.663384659371753,-33.0308905339484
9563,1,1,1,54,23,121,-22.791552271757464,-5.704473167775697,-20.548459756650352
9564,1,0,0,54,201,0,-26.078216009156115,-146.24003341308327,0.0
9565,1,0,0,53,201,0,-23.63907932801174,-127.18998769494229,0.0
9566,1,0,0,56,201,0,-23.926684437566237,-118.53275867422563,0.0
9567,1,1,0,53,46,201,-22.48278021879866,-13.623512676101319,-46.16617218081395
9568,1,1,1,55,35,126,-25.51721406022605,-9.961394678008476,-32.60890127581496
9569,1,1,1,56,30,106,-24.382639318319097,-8.116602503849244,-23.17124065419336
9570,1,0,0,49,201,0,-23.31612190817736,-196.28945697213558,0.0
9571,0,0,0,201,0,0,-92.4248719403872,0.0,0.0
9572,1,1,1,55,22,102,-26.862323391845276,-6.458420869595278,-26.158471259648433
9573,1,0,0,52,201,0,-23.30166919998539,-161.17647615084536,0.0
9574,1,1,1,48,21,111,-24.452095894380122,-5.8009744462621144,-24.420135834741924
9575,1,1,1,51,30,106,-22.26864222328773,-8.094376690194885,-17.884514008106276
9576,1,1,1,53,31,150,-24.642871336397448,-8.13024417736098,-30.390565747701306
9577,1,1,1,80,63,114,-26.3543407613458,-20.652968813906934,-35.10280168759648
9578,1,1,1,57,43,103,-23.10592384280196,-12.613761179180836,-24.721577462260868
9579,1,1,1,54,58,97,-26.813767131579425,-19.382471967948657,-21.664240059945683
9580,1,0,0,57,201,0,-24.262126187265824,-146.2351866219656,0.0
9581,1,1,1,51,35,102,-22.006660128668962,-9.428209167077155,-22.03128489574659
9582,1,1,1,49,42,112,-23.43342377591602,-11.164137292749864,-29.48987617458856
9583,1,1,1,53,52,97,-23.494021149357064,-18.886339442942962,-23.991362571880785
9584,1,1,1,197,121,139,-51.93305952196888,-44.07184009563683,-24.88533781248607
9585,1,0,0,55,201,0,-25.281851860639755,-144.1433906850493,0.0
9586,0,0,0,201,0,0,-62.284918128616596,0.0,0.0
9587,1,1,1,58,104,102,-23.352444725034918,-37.75111322257065,-24.448528430960522
9588,0,0,0,201,0,0,-66.30969842243016,0.0,0.0
9589,1,0,0,56,201,0,-27.359521809480082,-173.49846676457886,0.0
9590,1,1,1,193,27,91,-53.97933954325728,-7.55446617255312,-19.285394330926657
9591,1,0,0,56,201,0,-22.136300184658648,-149.72135037327575,0.0
9592,1,0,0,53,201,0,-23.176829389074594,-141.600619161763,0.0
9593,1,1,1,47,33,143,-22.056644708328097,-9.431989903877508,-33.60329782196832
9594,1,1,1,56,39,84,-24.58896874676188,-11.934617334446276,-17.571571344194165
9595,1,1,1,70,23,103,-24.95951594797037,-7.464801164863713,-14.78732565435007
9596,1,1,1,58,43,105,-23.143449831259904,-14.30044177958734,-24.304831119113366
9597,1,1,1,51,25,190,-22.765529329595818,-6.530518617049904,-45.49990143928733
9598,1,0,0,47,201,0,-22.8400268443058,-174.34730652764082,0.0
9599,1,0,0,49,201,0,-23.301169552909982,-120.91078866268101,0.0
9600,1,0,0,57,201,0,-24.898994804043493,-117.45245408707099,0.0
9601,1,1,1,53,38,109,-23.36077691146249,-11.212581243853943,-24.701060313825014
9602,1,1,1,53,36,188,-26.122395583403147,-11.506048725532164,-42.14702979730835
9603,1,0,0,58,201,0,-22.640812651574123,-128.93823982725266,0.0
9604,1,0,0,49,201,0,-22.363489910048717,-147.16434214987942,0.0
9605,1,0,0,51,201,0,-23.75553165250785,-121.94687590645142,0.0
9606,1,1,1,56,43,105,-24.899335740729228,-12.87802890908458,-25.73304840519314
9607,1,0,0,62,201,0,-24.427232267853718,-86.85977617580939,0.0
9608,1,1,1,55,48,109,-23.939332346914913,-15.203521789228343,-27.12431619772084
9609,1,1,1,48,21,105,-23.11971748035317,-5.642351555749334,-23.168166514751086
9610,1,0,0,52,201,0,-23.61356742468111,-127.26604270371378,0.0
9611,1,0,0,52,201,0,-22.04293143395686,-140.071948115438,0.0
9612,1,0,0,51,201,0,-21.744591761666616,-120.23474160418269,0.0
9613,1,1,1,54,52,118,-25.185550536431844,-15.47022026675903,-22.789074988581937
9614,1,1,1,57,35,148,-23.541561147506354,-9.00986114597269,-29.429528164973334
9615,1,0,0,56,201,0,-24.852195122984003,-56.86706510006915,0.0
9616,1,0,0,48,201,0,-21.115922357152943,-142.70978973464457,0.0
9617,1,0,0,55,201,0,-24.235197430576306,-135.05568250723957,0.0
9618,1,1,1,53,40,101,-23.991219061767364,-12.861492828231826,-21.31747384253837
9619,1,1,1,54,22,131,-25.437788493079623,-5.424072208869139,-26.720273411266703
9620,1,1,1,57,38,147,-24.1117875984532,-12.020191470255556,-26.95591685966469
9621,1,1,1,56,43,99,-25.645019861635053,-13.207137321769755,-19.317721697713868
9622,1,1,1,51,24,136,-23.540804041614784,-5.578260150484365,-25.562337124501624
9623,1,1,1,53,35,114,-24.75784491672553,-9.677456135235891,-28.100156103354042
9624,1,1,1,53,38,94,-24.443517513911694,-10.589987676691758,-24.76312724832914
9625,1,1,1,57,36,85,-26.24442157651269,-10.309141155243696,-19.828496870335304
9626,1,1,1,54,44,99,-24.11848694045013,-14.637908144510922,-22.702897402933427
9627,1,1,1,52,46,110,-24.466724674517526,-13.694483764635942,-28.550959409971195
9628,1,1,1,55,32,96,-23.740417735021513,-7.916179129668722,-20.168224831786457
9629,1,1,1,56,39,166,-22.096598591027703,-9.358862273176737,-33.46621714205947
9630,1,0,0,49,201,0,-24.388180837273374,-152.2832335713181,0.0
9631,1,0,0,48,201,0,-20.430506896011313,-159.62976586804123,0.0
9632,1,0,0,54,201,0,-24.666349940318852,-233.04166980376837,0.0
9633,1,0,0,59,201,0,-26.175583047544357,-117.9782801634371,0.0
9634,1,1,1,53,37,108,-25.97548156567586,-9.882013645515704,-23.100747051076127
9635,0,0,0,201,0,0,-66.20453504413554,0.0,0.0
9636,1,0,0,49,201,0,-23.071606591552587,-141.20204238034253,0.0
9637,0,0,0,201,0,0,-76.83052687495986,0.0,0.0
9638,1,1,1,53,23,112,-24.57993687259308,-6.637649709436144,-25.771974955421182
9639,1,1,1,56,22,126,-25.140388522272332,-5.502783045103801,-25.30760991332533
9640,1,1,1,52,42,86,-24.653685128123158,-12.40613527899207,-18.09871299314519
9641,1,0,0,54,201,0,-25.084318946044636,-200.20233780970943,0.0
9642,1,1,1,45,25,74,-21.839311006617415,-6.02170376922479,-12.041517835869266
9643,1,1,0,55,42,201,-24.08464157360066,-12.843065336994243,-50.51263894392793
9644,1,0,0,55,201,0,-24.296330197763616,-87.99156131473008,0.0
9645,1,0,0,52,201,0,-24.806474881143206,-141.16958569978414,0.0
9646,1,0,0,51,201,0,-22.95829363345425,-125.67239903940857,0.0
9647,1,0,0,49,201,0,-22.210529459307164,-123.96554004034516,0.0
9648,1,0,0,50,201,0,-21.8803025154865,-156.85001914770007,0.0
9649,1,1,1,52,50,94,-22.11670176462131,-18.504029860528195,-23.006214998859544
9650,1,0,0,48,201,0,-23.63978202740777,-248.64348274638309,0.0
9651,1,1,1,48,29,180,-21.117617878470913,-7.050554495701645,-55.789188134904926
9652,1,1,0,50,20,201,-22.560734099121834,-5.541207545013618,-73.1747333318062
9653,1,0,0,46,201,0,-21.640331878958687,-136.5201096286171,0.0
9654,1,0,0,49,201,0,-22.394236135779657,-231.45034270867734,0.0
9655,1,0,0,54,201,0,-24.10381743175768,-114.15795540626532,0.0
9656,0,0,0,201,0,0,-43.345906666700245,0.0,0.0
9657,1,1,0,56,37,201,-24.10224508237881,-11.947565248608957,-49.859567340978636
9658,1,0,0,52,201,0,-25.68223738081326,-128.57376778281528,0.0
9659,0,0,0,201,0,0,-61.137849805196865,0.0,0.0
